feeder,start_time,end_time,outage_duration_minutes
8 MILES,2023-02-21 09:00:00.0000000,2023-02-21 11:00:00.0000000,120
8 MILES,2023-02-23 12:00:00.0000000,2023-02-23 12:30:00.0000000,30
8 MILES,2023-02-24 08:30:00.0000000,2023-02-24 09:00:00.0000000,30
8 MILES,2023-02-28 17:00:00.0000000,2023-02-28 17:00:00.0000000,0
8 MILES,2023-03-01 23:00:00.0000000,2023-03-01 23:30:00.0000000,30
8 MILES,2023-03-02 23:30:00.0000000,2023-03-03 06:30:00.0000000,420
8 MILES,2023-03-03 22:00:00.0000000,2023-03-03 22:00:00.0000000,0
8 MILES,2023-03-04 07:00:00.0000000,2023-03-04 08:30:00.0000000,90
8 MILES,2023-03-04 09:30:00.0000000,2023-03-04 11:30:00.0000000,120
8 MILES,2023-03-04 13:00:00.0000000,2023-03-04 13:00:00.0000000,0
8 MILES,2023-03-05 23:30:00.0000000,2023-03-05 23:30:00.0000000,0
8 MILES,2023-03-06 14:30:00.0000000,2023-03-06 14:30:00.0000000,0
8 MILES,2023-03-06 20:30:00.0000000,2023-03-06 20:30:00.0000000,0
8 MILES,2023-03-07 07:00:00.0000000,2023-03-07 07:30:00.0000000,30
8 MILES,2023-03-09 04:00:00.0000000,2023-03-09 05:00:00.0000000,60
8 MILES,2023-03-09 12:30:00.0000000,2023-03-09 12:30:00.0000000,0
8 MILES,2023-03-10 16:00:00.0000000,2023-03-10 17:00:00.0000000,60
8 MILES,2023-03-10 22:00:00.0000000,2023-03-10 23:00:00.0000000,60
8 MILES,2023-03-11 14:00:00.0000000,2023-03-11 14:00:00.0000000,0
8 MILES,2023-03-11 18:00:00.0000000,2023-03-11 20:30:00.0000000,150
8 MILES,2023-03-15 18:30:00.0000000,2023-03-15 18:30:00.0000000,0
8 MILES,2023-03-15 20:30:00.0000000,2023-03-15 21:00:00.0000000,30
8 MILES,2023-03-19 19:00:00.0000000,2023-03-19 19:30:00.0000000,30
8 MILES,2023-03-20 09:30:00.0000000,2023-03-20 09:30:00.0000000,0
8 MILES,2023-03-20 16:00:00.0000000,2023-03-20 16:00:00.0000000,0
8 MILES,2023-03-21 02:30:00.0000000,2023-03-21 08:30:00.0000000,360
8 MILES,2023-03-22 18:30:00.0000000,2023-03-22 19:30:00.0000000,60
8 MILES,2023-03-24 03:00:00.0000000,2023-03-24 08:00:00.0000000,300
8 MILES,2023-03-24 13:00:00.0000000,2023-03-24 19:00:00.0000000,360
8 MILES,2023-03-26 19:30:00.0000000,2023-03-26 20:00:00.0000000,30
8 MILES,2023-03-26 23:00:00.0000000,2023-03-26 23:30:00.0000000,30
8 MILES,2023-03-28 08:30:00.0000000,2023-03-28 09:00:00.0000000,30
8 MILES,2023-03-28 14:30:00.0000000,2023-03-28 19:00:00.0000000,270
8 MILES,2023-03-28 20:00:00.0000000,2023-03-28 20:00:00.0000000,0
8 MILES,2023-03-29 15:30:00.0000000,2023-03-29 16:30:00.0000000,60
8 MILES,2023-03-29 20:30:00.0000000,2023-03-29 21:30:00.0000000,60
8 MILES,2023-03-30 20:00:00.0000000,2023-03-30 23:30:00.0000000,210
8 MILES,2023-03-31 22:30:00.0000000,2023-04-01 05:00:00.0000000,390
8 MILES,2023-04-01 22:00:00.0000000,2023-04-01 22:30:00.0000000,30
8 MILES,2023-04-03 11:00:00.0000000,2023-04-03 11:00:00.0000000,0
8 MILES,2023-04-06 06:00:00.0000000,2023-04-06 07:30:00.0000000,90
8 MILES,2023-04-06 15:00:00.0000000,2023-04-06 15:00:00.0000000,0
8 MILES,2023-04-06 21:00:00.0000000,2023-04-06 21:30:00.0000000,30
8 MILES,2023-04-07 02:00:00.0000000,2023-04-07 02:00:00.0000000,0
8 MILES,2023-04-07 06:00:00.0000000,2023-04-07 08:30:00.0000000,150
8 MILES,2023-04-07 13:00:00.0000000,2023-04-07 13:00:00.0000000,0
8 MILES,2023-04-07 16:00:00.0000000,2023-04-07 16:00:00.0000000,0
8 MILES,2023-04-09 13:30:00.0000000,2023-04-09 13:30:00.0000000,0
8 MILES,2023-04-10 13:00:00.0000000,2023-04-10 16:30:00.0000000,210
8 MILES,2023-04-11 03:30:00.0000000,2023-04-11 05:00:00.0000000,90
8 MILES,2023-04-11 08:30:00.0000000,2023-04-11 09:30:00.0000000,60
8 MILES,2023-04-11 16:30:00.0000000,2023-04-11 16:30:00.0000000,0
8 MILES,2023-04-12 11:00:00.0000000,2023-04-12 11:30:00.0000000,30
8 MILES,2023-04-12 14:00:00.0000000,2023-04-12 14:00:00.0000000,0
8 MILES,2023-04-15 01:30:00.0000000,2023-04-15 03:30:00.0000000,120
8 MILES,2023-04-16 16:00:00.0000000,2023-04-16 19:00:00.0000000,180
8 MILES,2023-04-16 20:00:00.0000000,2023-04-16 20:30:00.0000000,30
8 MILES,2023-04-18 07:00:00.0000000,2023-04-18 09:00:00.0000000,120
8 MILES,2023-04-19 11:30:00.0000000,2023-04-19 11:30:00.0000000,0
8 MILES,2023-04-19 14:00:00.0000000,2023-04-19 18:00:00.0000000,240
8 MILES,2023-04-20 02:00:00.0000000,2023-04-20 06:00:00.0000000,240
8 MILES,2023-04-21 01:00:00.0000000,2023-04-21 03:30:00.0000000,150
8 MILES,2023-04-21 12:30:00.0000000,2023-04-21 17:30:00.0000000,300
8 MILES,2023-04-22 03:00:00.0000000,2023-04-22 10:00:00.0000000,420
8 MILES,2023-04-22 16:00:00.0000000,2023-04-22 17:00:00.0000000,60
8 MILES,2023-04-23 00:00:00.0000000,2023-04-23 00:00:00.0000000,0
8 MILES,2023-04-23 11:00:00.0000000,2023-04-23 13:30:00.0000000,150
8 MILES,2023-04-24 12:30:00.0000000,2023-04-24 12:30:00.0000000,0
8 MILES,2023-04-24 14:00:00.0000000,2023-04-24 16:30:00.0000000,150
8 MILES,2023-04-24 20:30:00.0000000,2023-04-24 23:30:00.0000000,180
8 MILES,2023-04-25 15:00:00.0000000,2023-04-25 15:00:00.0000000,0
8 MILES,2023-04-25 18:00:00.0000000,2023-04-25 18:00:00.0000000,0
8 MILES,2023-04-26 12:00:00.0000000,2023-04-26 12:00:00.0000000,0
8 MILES,2023-04-26 20:30:00.0000000,2023-04-26 20:30:00.0000000,0
8 MILES,2023-04-27 05:30:00.0000000,2023-04-27 09:30:00.0000000,240
8 MILES,2023-04-28 09:30:00.0000000,2023-04-28 09:30:00.0000000,0
8 MILES,2023-04-29 05:30:00.0000000,2023-04-29 06:00:00.0000000,30
8 MILES,2023-04-29 14:00:00.0000000,2023-04-29 16:30:00.0000000,150
8 MILES,2023-05-02 16:00:00.0000000,2023-05-02 16:00:00.0000000,0
8 MILES,2023-05-04 12:00:00.0000000,2023-05-04 12:00:00.0000000,0
8 MILES,2023-05-05 18:00:00.0000000,2023-05-05 21:30:00.0000000,210
8 MILES,2023-05-06 07:30:00.0000000,2023-05-06 12:00:00.0000000,270
8 MILES,2023-05-06 20:00:00.0000000,2023-05-06 20:00:00.0000000,0
8 MILES,2023-05-07 16:30:00.0000000,2023-05-07 16:30:00.0000000,0
8 MILES,2023-05-07 18:30:00.0000000,2023-05-07 19:00:00.0000000,30
8 MILES,2023-05-09 14:00:00.0000000,2023-05-09 14:00:00.0000000,0
8 MILES,2023-05-09 18:30:00.0000000,2023-05-09 20:30:00.0000000,120
8 MILES,2023-05-09 22:00:00.0000000,2023-05-09 22:00:00.0000000,0
8 MILES,2023-05-10 07:30:00.0000000,2023-05-10 09:00:00.0000000,90
